transliteration,yiddish
ob,אָב
ov,אָבֿ
ovinu,אָבֿינו
oblast,אָבלאַסט
agent,אַגענט
oger,אָגער
agres,אַגרעס
adaptirer,אַדאַפּטירער
advokat,אַדוואָקאַט
adverb,אַדווערב
adyektiv,אַדיעקטיוו
adl,אַדל
odler,אָדלער
oder,אָדער
oderl,אָדערל
oder,אָדר
adres,אַדרעס
avtograf,אַווטאָגראַף
avtor,אַווטאָר
ovnt,אָוונט
ovntshtern,אָוונטשטערן
azot,אַזאָט
azbuke,אַזבוקע
ozere,אָזערע
ozhene,אָזשענע
akhren,אַחרון
akhrayes,אַחריות
atom,אַטאָם
atak,אַטאַק
atake,אַטאַקע
atmosfer,אַטמאָספֿער
atmosfere,אַטמאָספֿערע
ateizm,אַטעיִזם
ateist,אַטעיִסט
otem,אָטעם
akhtl,אַכטל
akhtsikstl,אַכציקסטל
akhtsntl,אַכצנטל
algebre,אַלגעברע
aluminyum,אַלומיניום
altdaytsh,אַלטדײַטש
althoykhdaytsh,אַלטהויכדײַטש
alter,אַלטער
aligator,אַליגאַטאָר
oliv,אָליוו
almer,אַלמער
alee,אַלעע
alergye,אַלערגיע
alef,אַלף
alef-beys,אַלף־בית
alfabet,אַלפֿאַבעט
alkohol,אַלקאָהאָל
alkoholizm,אַלקאָהאָליזם
am,אַם
ambasade,אַמבאַסאַדע
amoyre,אַמורא
omlet,אָמלעט
amnezye,אַמנעזיע
amerikaner,אַמעריקאַנער
ananas,אַנאַנאַס
anarkhizm,אַנאַרכיזם
anarkhist,אַנאַרכיסט
ondenk,אָנדענק
onheyb,אָנהייב
onheyber,אָנהייבער
anulirung,אַנולירונג
antologye,אַנטאָלאָגיע
ontologye,אָנטאָלאָגיע
onton,אָנטאָן
onteyl,אָנטייל
onteylung,אָנטיילונג
antisemit,אַנטיסעמיט
antisemitizm,אַנטיסעמיטיזם
antipatye,אַנטיפּאַטיע
antik,אַנטיק
antloyf,אַנטלויף
antloyfer,אַנטלויפֿער
antropologye,אַנטראָפּאָלאָגיע
antshuldikung,אַנטשולדיקונג
ansambl,אַנסאַמבל
anekdot,אַנעקדאָט
onfanger,אָנפֿאַנגער
ontsinder,אָנצינדער
onkl,אָנקל
ankete,אַנקעטע
astronoyt,אַסטראָנויט
astronmye,אַסטראָנמיע
osyen,אָסיען
aspirin,אַספּירין
aerodrom,אַעראָדראָם
aeroport,אַעראָפּאָרט
aeroplan,אַעראָפּלאַן
aforizm,אַפֿאָריזם
apatye,אַפּאַטיע
apostol,אַפּאָסטאָל
aparatshik,אַפּאַראַטשיק
apteyk,אַפּטייק
apteyker,אַפּטייקער
apikoyres,אַפּיקורס
opl,אָפּל
apetit,אַפּעטיט
operatsye,אָפּעראַציע
opere,אָפּערע
operete,אָפּערעטע
april,אַפּריל
aprikos,אַפּריקאָס
afikoymen,אַפֿיקומן
afrikaner,אַפֿריקאַנער
afrikanerin,אַפֿריקאַנערין
akordeon,אַקאָרדעאָן
okupatsye,אָקופּאַציע
oktober,אָקטאָבער
oktopus,אָקטאָפּוס
aktor,אַקטאָר
aktyor,אַקטיאָר
aktivitet,אַקטיוויטעט
aktivist,אַקטיוויסט
aktrise,אַקטריסע
aks,אַקס
oks,אָקס
aksl,אַקסל
okean,אָקעאַן
aker,אַקער
aker-ayzn,אַקער־אײַזן
arabish,אַראַביש
araber,אַראַבער
aromat,אַראָמאַט
aramish,אַראַמיש
arbet,אַרבעט
arbeter,אַרבעטער
arbes,אַרבעס
arbeszup,אַרבעסזופּ
argon,אַרגאָן
organ,אָרגאַן
organizatsye,אָרגאַניזאַציע
aroysreyd,אַרויסרייד
aroysred,אַרויסרעד
arumnem,אַרומנעם
orn,אָרון
orn-koydesh,אָרון־קודש
ort,אָרט
ortografye,אָרטאָגראַפֿיע
ortodoks,אָרטאָדאָקס
ortodoksiye,אָרטאָדאָקסיע
artist,אַרטיסט
artistke,אַרטיסטקע
artikl,אַרטיקל
artishok,אַרטישאָק
arterye,אַרטעריע
original,אָריגינאַל
arkhiv,אַרכיוו
arkhitekt,אַרכיטעקט
arkhitektor,אַרכיטעקטאָר
arkheologye,אַרכעאָלאָגיע
armey,אַרמיי
armenish,אַרמעניש
armener,אַרמענער
orevnik,אָרעווניק
orem,אָרעם
oreman,אָרעמאַן
arts,אַרץ
araynfir,אַרײַנפֿיר
ash,אַש
ashboym,אַשבוים
ashkenazi,אַשכּנזי
eyver,אבֿר
adoyn,אדון
adoyni,אדוני
ugerke,אוגערקע
oyg,אויג
oyganes,אויגאַנעס
oygust,אויגוסט
oygn-ledl,אויגן־לעדל
oygn-lepl,אויגן־לעפּל
oygnblik,אויגנבליק
oygnledl,אויגנלעדל
oygnlepl,אויגנלעפּל
oygenes,אויגענעס
oygepl,אויגעפּל
oyvn,אויוון
oyto,אויטאָ
oytobiografye,אויטאָביאָגראַפֿיע
oytomobil,אויטאָמאָביל
oytomat,אויטאָמאַט
oytonomye,אויטאָנאָמיע
oytor,אויטאָר
oysherer,אויסהערער
oyster,אויסטער
oysleyg,אויסלייג
oysshtelung,אויסשטעלונג
oyer,אויער
oyfruf,אויפֿרוף
oyfshtand,אויפֿשטאַנד
umbreng-lager,אומברענג־לאַגער
ungarish,אונגאַריש
unger,אונגער
ungerish,אונגעריש
untergang,אונטערגאַנג
untergrunt,אונטערגרונט
untermentsh,אונטערמענטש
unternemung,אונטערנעמונג
untershid,אונטערשיד
untersheyd,אונטערשייד
univers,אוניווערס
universitet,אוניווערסיטעט
oyfn,אופֿן
oytser,אוצר
ukrainish,אוקראַיִניש
ukrainer,אוקראַיִנער
ur-eynikl,אור־אייניקל
ur-bobe,אור־באָבע
uranus,אוראַנוס
uranyum,אוראַניום
ureltern,אורעלטערן
os,אות
ekhod,אחד
akhren,אחרון
akhrayes,אחריות
iberzetsung,איבערזעצונג
iberzetser,איבערזעצער
ibermentsh,איבערמענטש
idyot,אידיאָט
idilye,אידיליע
ideologye,אידעאָלאָגיע
identitet,אידענטיטעט
italyener,איטאַליענער
ey,איי
eygntum,אייגנטום
eyzl,אייזל
eykhnboym,אייכנבוים
eyl,אייל
eynikl,אייניקל
eyntsol,איינצאָל
eyele,אייעלע
iyer,אייר
eyropeish,אייראָפּעיִש
eyropeer,אייראָפּעער
eyropeerin,אייראָפּעערין
imam,אימאַם
imigrant,אימיגראַנט
imigratsye,אימיגראַציע
ingber,אינגבער
ind,אינד
indzl,אינדזל
indik,אינדיק
inhalt,אינהאַלט
inzl,אינזל
inzhenir,אינזשעניר
inzhenirye,אינזשעניריע
inzhener,אינזשענער
inzhenerye,אינזשענעריע
internet,אינטערנעט
internets,אינטערנעץ
initsyativ,איניציאַטיוו
institut,אינסטיטוט
infinitiv,אינפֿיניטיוו
inflatsye,אינפֿלאַציע
isomer,איסאָמער
iser,איסור
islam,איסלאַם
islamist,איסלאַמיסט
islamer,איסלאַמער
irlender,אירלענדער
ire,אירע
elel,אלול
alef,אלף
alef-beys,אלף־בית
emune,אמונה
amoyre,אמורא
emes,אמת
afikoymen,אפיקומן
orn,ארון
esreg,אתרוג
ayz,אײַז
ayzn,אײַזן
ayznban,אײַזנבאַן
ayzngesheft,אײַזנגעשעפֿט
ayzkrem,אײַזקרעם
ayroplan,אײַראָפּלאַן
bob,באָב
bobe,באָבע
bobe-zeyde,באָבע־זיידע
bobe-mayse,באָבע־מעשׂה
bagazh,באַגאַזש
baginen,באַגינען
bagegenish,באַגעגעניש
bager,באַגער
bagrif,באַגריף
bagreber,באַגרעבער
bod,באָד
badarf,באַדאַרף
bodhitl,באָדהיטל
badekns,באַדעקנס
bodkostum,באָדקאָסטום
badaytung,באַדײַטונג
bahn,באַהן
bavegung,באַוועגונג
bazalt,באַזאַלט
bazukh,באַזוך
bazukher,באַזוכער
batyushke,באַטיושקע
boyarin,באָיאַרין
bal,באַל
balagan,באַלאַגאַן
balad,באַלאַד
balade,באַלאַדע
balalayke,באַלאַלײַקע
baln,באַלן
balebos,באַלעבאָס
baleboste,באַלעבאָסטע
balem,באַלעם
bolshevizm,באָלשעוויזם
bolshevist,באָלשעוויסט
bolshevik,באָלשעוויק
ban,באַן
banane,באַנאַנע
bandzho,באַנדזשאָ
bank,באַנק
bank-kvetsher,באַנק־קוועטשער
bankbetl,באַנקבעטל
bankir,באַנקיר
bankirer,באַנקירער
bas,באַס
bosnyak,באָסניאַק
basketbol,באַסקעטבאָל
baptist,באַפּטיסט
bafelkerung,באַפֿעלקערונג
bafrayung,באַפֿרײַונג
bafrayer,באַפֿרײַער
bak,באַק
bakteryologye,באַקטעריאָלאָגיע
bar,באַר
baron,באַראָן
barg,באַרג
bord,באָרד
border,באָרדער
borsht,באָרשט
bashafung,באַשאַפֿונג
bashafer,באַשאַפֿער
bashlus,באַשלוס
bashefer,באַשעפֿער
bovli,בבֿלי
beged,בגד
badkhn,בדחן
behole,בהלה
beheyme,בהמה
bube,בובע
bubele,בובעלע
budhizm,בודהיזם
budhist,בודהיסט
buhay,בוהיי
buhay,בוהײַ
boygn,בויגן
boygn-shiser,בויגן־שיסער
boytshik,בויטשיק
boytshikl,בויטשיקל
boykh,בויך
boykhreder,בויכרעדער
boym,בוים
bukh,בוך
bulbe,בולבע
bulgarish,בולגאַריש
buksir,בוקסיר
bur,בור
boyre,בורא
burg,בורג
burik,בוריק
bokher,בחור
byografye,ביאָגראַפֿיע
byokhemye,ביאָכעמיע
bialy,ביאַלי
biblyotek,ביבליאָטעק
biblyoteker,ביבליאָטעקער
biblyotekerin,ביבליאָטעקעראין
biber,ביבער
byuro,ביוראָ
byurokrat,ביוראָקראַט
byurokratye,ביוראָקראַטיע
bit,ביט
beygung,בייגונג
beygl,בייגל
beygele,בייגעלע
beyml,ביימל
beyn,ביין
bikhl,ביכל
bikherkrom,ביכערקראָם
bild,בילד
bildung,בילדונג
bilyon,ביליאָן
bilet,בילעט
bime,בימה
bimkem,בימקום
bin,בין
bintl,בינטל
bis,ביס
bisl,ביסל
biskup,ביסקופּ
beytse,ביצה
bitsikl,ביציקל
bitsiklet,ביציקלעט
bik,ביק
biks,ביקס
bir,ביר
birger,בירגער
bishof,בישאָף
beys,בית
beyz-din,בית־דין
beys-oylem,בית־עולם
bkhor,בכור
bkhoyre,בכורה
bloz,בלאָז
blat,בלאַט
blote,בלאָטע
blok,בלאָק
blut,בלוט
blutbod,בלוטבאָד
blum,בלום
blumentop,בלומענטאָפּ
bli,בלי
blintse,בלינצע
blits,בליץ
blitsbriv,בליצבריוו
blitsbrivl,בליצבריוול
blitspost,בליצפּאָסט
blitsshlesl,בליצשלעסל
bletl,בלעטל
blekh,בלעך
blekher,בלעכער
blay,בלײַ
blayer,בלײַער
bimkem,במקום
ben-meylekh,בן־מלך
bonem,בנים
bebl,בעבל
bezem,בעזעם
bet,בעט
bekher,בעכער
balebos,בעל־הבית
baleboste,בעל־הביתטע
balmelokhe,בעל־מלאָכה
bentshlikht,בענטשליכט
benkl,בענקל
besaraber,בעסאַראַבער
bekishe,בעקישע
beker,בעקער
bekeray,בעקערײַ
bekeshe,בעקעשע
ber,בער
beryoze,בעריאָזע
berilyum,בעריליום
bereze,בערעזע
bakoshe,בקשה
broder,בראָדער
brokh,בראָך
brondz,בראָנדז
bronfn,בראָנפֿן
bronkser,בראָנקסער
breyshes,בראשית
bruder,ברודער
brudershaft,ברודערשאַפֿט
broyz,ברויז
broyt,ברויט
broytnitse,ברויטניצע
brunet,ברונעט
brunem,ברונעם
brust,ברוסט
brustkastn,ברוסטקאַסטן
brukliner,ברוקלינער
brie,בריאה
bridershaft,ברידערשאַפֿט
briv,בריוו
breyt,ברייט
breytl,ברייטל
briln,ברילן
brik,בריק
brikl,בריקל
breyre,ברירה
bris,ברית
brokhe,ברכה
breg,ברעג
bret,ברעט
bretl,ברעטל
brem,ברעם
brenholts,ברענהאָלץ
bray,ברײַ
besomem,בשׂמים
bas-malke,בת־מלכּה
bas-kol,בת־קול
bsule,בתולה
baytsh,בײַטש
baykhl,בײַכל
bayshpil,בײַשפּיל
gob,גאָב
goen,גאָון
got,גאָט
gotenyu,גאָטעניו
gal,גאַל
galon,גאַלאָן
gold,גאָלד
goldshmid,גאָלדשמיד
galitsyaner,גאַליציאַנער
galitsyanerin,גאַליציאַנערין
golmeser,גאָלמעסער
golmeserl,גאָלמעסערל
golkrem,גאָלקרעם
gombe,גאָמבע
gomlke,גאָמלקע
gondole,גאָנדאָלע
gandz,גאַנדז
ganz,גאַנז
gas,גאַס
gast,גאַסט
gopl,גאָפּל
gopl-lefl,גאָפּל־לעפֿל
garb,גאַרב
garber,גאַרבער
garberay,גאַרבערײַ
gortn,גאָרטן
gortshitse,גאָרטשיצע
gorile,גאָרילע
goen,גאון
gvure,גבֿורה
gabe,גבאי
gabete,גבאיטע
giber,גבור
gvald,גוואַלד
gvalt,גוואַלט
gutmakhung,גוטמאַכונג
goy,גוי
gulag,גולאַג
gulash,גולאַש
goylem,גולם
gume,גומע
guf,גוף
goyrl,גורל
gazlen,גזלן
gzhive,גזשיווע
gzhivke,גזשיווקע
giber,גיבור
gitar,גיטאַר
gikh,גיך
giml,גימל
gimnazye,גימנאַזיע
gift,גיפֿט
globalizatsye,גלאָבאַליזאַציע
globus,גלאָבוס
gloz,גלאָז
glok,גלאָק
glust,גלוסט
goles,גלות
galekh,גלח
glitsh,גליטש
glik,גליק
glaykhung,גלײַכונג
gan,גן
ganef,גנב
ganef,גנבֿ
gnéyve,גנבֿה
geografye,געאָגראַפֿיע
geolog,געאָלאָג
geologye,געאָלאָגיע
geometrye,געאָמעטריע
geboyrn-tog,געבוירן־טאָג
geboyrntog,געבוירנטאָג
geburtstog,געבורטסטאָג
geburtstog,געבורצטאָג
gegnt,געגנט
gedank,געדאַנק
gedikht,געדיכט
gederem,געדערעם
gevald,געוואַלד
gevalt,געוואַלט
geveyn,געוויין
gevikht,געוויכט
gevins,געווינס
gever,געווער
gezang,געזאַנג
gezunt,געזונט
gezikht,געזיכט
gezel,געזעל
gezelshaft,געזעלשאַפֿט
gezets,געזעץ
geto,געטאָ
getrank,געטראַנק
gelt,געלט
gendzl,גענדזל
genetik,גענעטיק
general,גענעראַל
gesl,געסל
geske,געסקע
gesrokhe,געסרחה
gefil,געפֿיל
geroysh,גערויש
gertl,גערטל
gertner,גערטנער
gertneray,גערטנערײַ
germanets,גערמאַנעץ
gersht,גערשט
geshank,געשאַנק
geshvir,געשוויר
geshtalt,געשטאַלט
geshikhte,געשיכטע
geshmak,געשמאַק
gesheft,געשעפֿט
gesheftsman,געשעפֿטסמאַן
geshprekh,געשפּרעך
grobayzn,גראָבאײַזן
grager,גראַגער
groz,גראָז
gram,גראַם
gramatik,גראַמאַטיק
granit,גראַניט
graf,גראַף
grafit,גראַפֿיט
grafin,גראַפֿין
grafinye,גראַפֿיניע
groshn,גראָשן
gruzinish,גרוזיניש
gruziner,גרוזינער
groyl,גרויל
groyskeyt,גרויסקייט
grunt,גרונט
grupe,גרופּע
gribenes,גריבענעס
grive,גריווע
grivke,גריווקע
greypfrut,גרייפּפֿרוט
greypfrukht,גרייפּפֿרוכט
grikh,גריך
grikhish,גריכיש
grinder,גרינדער
grins,גרינס
grif,גריף
greber,גרעבער
gret,גרעט
grenets,גרענעץ
grayz,גרײַז
gashmies,גשמיות
gayst,גײַסט
date,דאַטע
datshe,דאַטשע
dakh,דאַך
dolar,דאָלאַר
damke,דאַמקע
donershtik,דאָנערשטיק
dankbarkeyt,דאַנקבאַרקייט
dokument,דאָקומענט
doktor,דאָקטאָר
dokter,דאָקטער
dokteray,דאָקטערײַ
daks,דאַקס
dorf,דאָרף
dorfman,דאָרפֿמאַן
dorsht,דאָרשט
dvoryanin,דוואָריאַנין
dvorets,דוואָרעץ
dor,דור
dzhaz,דזשאַז
dzhukhe,דזשוכע
dzhiraf,דזשיראַף
dzshez,דזשעז
dzheyl,דזשעיל
dyademe,דיאַדעמע
dyalekt,דיאַלעקט
dyalektologye,דיאַלעקטאָלאָגיע
dibek,דיבוק
dividend,דיווידענד
dayen,דיין
dikh,דיך
dikhtung,דיכטונג
dikhter,דיכטער
dil,דיל
diment,דימענט
din,דין
dinozaver,דינאָזאַווער
dinastye,דינאַסטיע
dinye,דיניע
dinst,דינסט
dinstog,דינסטאָג
dinstik,דינסטיק
dinstmoyd,דינסטמויד
dinke,דינקע
diskotek,דיסקאָטעק
diskriminatsye,דיסקרימינאַציע
dikdek,דיקדוק
dire,דירה
dire-gelt,דירה־געלט
dlonye,דלאָניע
delfin,דעלפֿין
demografye,דעמאָגראַפֿיע
demokratsye,דעמאָקראַציע
demb,דעמב
denish,דעניש
denker,דענקער
detsember,דעצעמבער
deklaratsye,דעקלאַראַציע
deklinatsye,דעקלינאַציע
dernerung,דערנערונג
derfl,דערפֿל
derklerung,דערקלערונג
dramaturg,דראַמאַטורג
dramaturgye,דראַמאַטורגיע
drame,דראַמע
drakon,דראַקאָן
dorem,דרום
druker,דרוקער
drukeray,דרוקערײַ
dritl,דריטל
dreydl,דריידל
drek,דרעק
draysikstl,דרײַסיקסטל
drayek,דרײַעק
draytsntl,דרײַצנטל
daytsh,דײַטש
daytshmerizm,דײַטשמעריזם
hob,האָב
habikht,האַביכט
hober,האָבער
hoberin,האָבערין
havn,האַוון
hoz,האָז
hotel,האָטעל
haldz,האַלדז
holeptses,האָלעפּצעס
holts,האָלץ
homoseksualutet,האָמאָסעקסואַלוטעט
hamer,האַמער
hon,האָן
handler,האַנדלער
hant,האַנט
hantbukh,האַנטבוך
hantflakh,האַנטפֿלאַך
honik,האָניק
honikteygl,האָניקטייגל
has,האַס
hofenung,האָפֿענונג
hak,האַק
hakfleysh,האַקפֿלייש
hor,האָר
harbst,האַרבסט
horn,האָרן
hore,האָרע
harf,האַרף
harfe,האַרפֿע
harts,האַרץ
harts,הארץ
havdole,הבֿדלה
hut,הוט
hoyz,הויז
hoyzn,הויזן
hoyt,הויט
hoykhdaytsh,הויכדײַטש
hoyptl,הויפּטל
hoyptshtot,הויפּטשטאָט
huligan,הוליגאַן
humor,הומאָר
humorist,הומאָריסט
hun,הון
hunger,הונגער
hundertstl,הונדערטסטל
hunt,הונט
hore,הורה
hidrogen,הידראָגען
hitl,היטל
hey,היי
heybmuter,הייבמוטער
heyvn,הייוון
heykh,הייך
heyl,הייל
heym,היים
heymarbet,היימאַרבעט
heymland,היימלאַנד
heymshtot,היימשטאָט
heyrat,הייראַט
heysherik,היישעריק
hilf,הילף
hilfsverb,הילפֿסווערב
himl,הימל
himne,הימנע
hindl,הינדל
hintele,הינטעלע
hintergesl,הינטערגעסל
historye,היסטאָריע
hirzh,הירזש
hirsh,הירש
halokhe,הלכה
homen-tash,המן־טאַש
homen-tashn,המן־טאַשן
hebreish,העברעיש
hebreish,העברעיִש
held,העלד
heldzl,העלדזל
heldin,העלדין
helyum,העליום
helfand,העלפֿאַנד
helfant,העלפֿאַנט
helft,העלפֿט
helfer,העלפֿער
helferin,העלפֿערין
hemd,העמד
hendler,הענדלער
hentshke,הענטשקע
heft,העפֿט
hekl,העקל
her,הער
herb,הערב
hering,הערינג
hertsog,הערצאָג
haftore,הפֿטרה
hatslokhe,הצלחה
hakdome,הקדמה
horov,הרבֿ
harige,הריגה
haskole,השׂכּלה
hayzl,הײַזל
hayzke,הײַזקע
hayskul,הײַסקול
hayfish,הײַפֿיש
h',ה׳
vog,וואָג
vagon,וואַגאָן
vagine,וואַגינע
vogn,וואָגן
voyevode,וואָיעוואָדע
vakh,וואַך
vokh,וואָך
vakhnakht,וואַכנאַכט
vokhnblat,וואָכנבלאַט
vald,וואַלד
volf,וואָלף
valfish,וואַלפֿיש
volkn,וואָלקן
vampir,וואַמפּיר
vant,וואַנט
vanile,וואַנילע
vane,וואַנע
vants,וואַנץ
vontses,וואָנצעס
vaser,וואַסער
vasershtof,וואַסערשטאָף
vofn,וואָפֿן
vakatsye,וואַקאַציע
vakuum,וואַקוּום
vor,וואָר
vort,וואָרט
varnishkes,וואַרנישקעס
vorem,וואָרעם
varemkeyt,וואַרעמקייט
vortsl,וואָרצל
varshever,וואַרשעווער
vashtsimer,וואַשצימער
vaser,וואסער
vund,וווּנד
vunder,וווּנדער
vursht,וווּרשט
vurshtl,וווּרשטל
voynung,וווינונג
voyntsimer,וווינצימער
vyole,וויאָלע
vyosle,וויאָסלע
vyorst,וויאָרסט
vig,וויג
vigl,וויגל
viglid,וויגליד
vigele,וויגעלע
vider,ווידער
vidergutmakhung,ווידערגוטמאַכונג
vize,וויזע
vey,וויי
veydl,וויידל
vayn,וויין
veyts,ווייץ
vindl,ווינדל
vint,ווינט
vinter,ווינטער
vintertsayt,ווינטערצײַט
visn,וויסן
visnshaft,וויסנשאַפֿט
visnshaftler,וויסנשאַפֿטלער
viskey,וויסקיי
vie,וויִע
vits,וויץ
virus,ווירוס
veb,וועב
vebzaytl,וועבזײַטל
veg,וועג
vegetaryer,וועגעטאַריער
vet,וועט
vet-zayt,וועט־זײַט
veter,וועטער
velosiped,וועלאָסיפּעד
velt,וועלט
velt-milkhome,וועלט־מלחמה
velteyl,וועלטייל
veltsvertl,וועלטסווערטל
veltsmentsh,וועלטסמענטש
venger,ווענגער
venus,ווענוס
vesle,וועסלע
verb,ווערב
verbe,ווערבע
vert,ווערט
vertl,ווערטל
